N,seed,kproj,w,M,probes,recall,qps,time_per_query
10,42,12,20,2000,100,0.09166666666666667,19.17181,0.05215991604339913
10,42,12,20,2000,250,0.09166666666666667,57.043167,0.01753058346146875
10,42,12,20,2000,500,0.09166666666666667,19.079145,0.052413250174470606
10,42,12,20,5000,100,0.1369047619047619,2.311704,0.43258133394240783
10,42,12,20,5000,250,0.1369047619047619,9.765069,0.10240583041451115
10,42,12,20,5000,500,0.1369047619047619,2.564023,0.3900121020755274
10,42,12,20,10000,100,0.18571428571428572,5.879915,0.17007048571280367
10,42,12,20,10000,250,0.18571428571428572,2.00182,0.4995454136735571
10,42,12,20,10000,500,0.18571428571428572,4.163843,0.24016275349478836
10,42,12,40,2000,100,0.09166666666666667,7.699316,0.12988166741045568
10,42,12,40,2000,250,0.09166666666666667,8.59913,0.1162908340727492
10,42,12,40,2000,500,0.09166666666666667,11.865751,0.08427616591651046
10,42,12,40,5000,100,0.1369047619047619,3.226016,0.3099798637080535
10,42,12,40,5000,250,0.1369047619047619,3.813269,0.26224218642849484
10,42,12,40,5000,500,0.1369047619047619,4.15402,0.24073066571658297
10,42,12,40,10000,100,0.18571428571428572,2.565721,0.38975399117830817
10,42,12,40,10000,250,0.18571428571428572,2.858452,0.3498397034478802
10,42,12,40,10000,500,0.18571428571428572,3.119911,0.3205219636072952
10,42,12,80,2000,100,0.09166666666666667,4.304451,0.23231766373923177
10,42,12,80,2000,250,0.09166666666666667,12.39055,0.08070666758134223
10,42,12,80,2000,500,0.09166666666666667,7.614566,0.13132724832905776
10,42,12,80,5000,100,0.1369047619047619,5.566836,0.17963525420903362
10,42,12,80,5000,250,0.1369047619047619,5.258736,0.19015976462784975
10,42,12,80,5000,500,0.1369047619047619,2.954138,0.3385082213491719
10,42,12,80,10000,100,0.18571428571428572,1.802183,0.5548826062614063
10,42,12,80,10000,250,0.18571428571428572,3.360345,0.2975884916578506
10,42,12,80,10000,500,0.18571428571428572,1.216335,0.8221419263607477
10,42,12,120,2000,100,0.09166666666666667,70.065219,0.014272416675098097
10,42,12,120,2000,250,0.09166666666666667,17.544142,0.05699908265676372
10,42,12,120,2000,500,0.09166666666666667,13.815478,0.07238258422907988
10,42,12,120,5000,100,0.1369047619047619,23.594087,0.04238350057792022
10,42,12,120,5000,250,0.1369047619047619,4.973627,0.20106051378601575
10,42,12,120,5000,500,0.1369047619047619,4.635641,0.2157198972051546
10,42,12,120,10000,100,0.18571428571428572,2.085528,0.47949488091265136
10,42,12,120,10000,250,0.18571428571428572,1.944438,0.5142874187811594
10,42,12,120,10000,500,0.18571428571428572,2.131651,0.469119945056672
10,42,12,300,2000,100,0.09166666666666667,10.396523,0.09618600372451444
10,42,12,300,2000,250,0.09166666666666667,18.918761,0.05285758406694815
10,42,12,300,2000,500,0.09166666666666667,9.127363,0.10956066938501295
10,42,12,300,5000,100,0.1369047619047619,16.316474,0.06128775126292605
10,42,12,300,5000,250,0.1369047619047619,5.94573,0.16818792646151104
10,42,12,300,5000,500,0.1369047619047619,5.06718,0.19734842654099521
