N,seed,kclusters,nprobe,ivfpq_M,nbits,recall,qps,time_per_query
10,42,200,50,8,8,0.1773809523809524,320.881354,0.0031164166678254545
10,42,200,50,16,8,0.20595238095238097,11.269606,0.08873424678733223
10,42,200,100,8,8,0.1976190476190476,41.758884,0.023947000116190845
10,42,200,100,16,8,0.20952380952380953,41.678099,0.023993416782276945
10,42,500,50,8,8,0.1511904761904762,20.163018,0.04959575000131428
10,42,500,50,16,8,0.19404761904761902,25.452417,0.039288999547665744
10,42,500,100,8,8,0.18571428571428572,8.858226,0.11288942052279993
10,42,500,100,16,8,0.21785714285714286,9.90762,0.10093241363718028
10,42,500,250,8,8,0.2511904761904762,9.598979,0.10417774640407068
10,42,500,250,16,8,0.2380952380952381,2.258187,0.44283312232335054
10,42,1000,50,8,8,0.20952380952380953,617.665225,0.001619000001173775
10,42,1000,50,16,8,0.20952380952380956,185.611978,0.005387583337967553
10,42,1000,100,8,8,0.1726190476190476,75.915253,0.013172583380575704
10,42,1000,100,16,8,0.25952380952380955,12.642625,0.07909749755292117
10,42,1000,250,8,8,0.1976190476190476,36.143707,0.02766733362463347
10,42,1000,250,16,8,0.2261904761904762,5.503345,0.18170767051674935
10,42,1000,500,8,8,0.18928571428571428,28.364168,0.03525574943710671
10,42,1000,500,16,8,0.19285714285714287,2.619089,0.3818121491862247
10,42,5000,50,8,8,0.2261904761904762,288.655826,0.0034643333337744586
10,42,5000,50,16,8,0.20952380952380953,19.210573,0.05205466802057388
10,42,5000,100,8,8,0.19285714285714287,27.840935,0.03591833392089741
10,42,5000,100,16,8,0.21785714285714286,5.134057,0.19477773620355207
10,42,5000,250,8,8,0.2226190476190476,7.426777,0.13464790985376293
10,42,5000,250,16,8,0.23452380952380955,9.430619,0.10603757823319974
10,42,5000,500,8,8,0.18928571428571428,48.940839,0.02043283320091836
10,42,5000,500,16,8,0.25952380952380955,2.776787,0.3601284506157656
10,42,5000,1500,8,8,0.1976190476190476,9.048777,0.11051217197638974
10,42,5000,1500,16,8,0.20952380952380953,13.262937,0.07539808113391476
1,42,200,50,8,8,0.08333333333333333,131.265178,0.0076181666397466055
1,42,200,50,16,8,0.16666666666666666,69.161475,0.014458916615066408
1,42,200,100,8,8,0.0,24.449031,0.04090141650194643
1,42,200,100,16,8,0.0,17.456094,0.05728658427251824
1,42,500,50,8,8,0.0,176.416107,0.005668416659936839
1,42,500,50,16,8,0.25,29.258302,0.03417833338380334
1,42,500,100,8,8,0.08333333333333333,20.04326,0.04989208342355485
1,42,500,100,16,8,0.08333333333333333,26.278619,0.0380537500848123
1,42,500,250,8,8,0.08333333333333333,6.348034,0.1575290869582614
1,42,500,250,16,8,0.08333333333333333,11.608234,0.08614574792341367
1,42,1000,50,8,8,0.0,225.064706,0.004443166668700156
1,42,1000,50,16,8,0.16666666666666666,24.703405,0.04048024958502684
1,42,1000,100,8,8,0.0,9.14874,0.10930466927686217
1,42,1000,100,16,8,0.08333333333333333,6.376216,0.15683283000450424
1,42,1000,250,8,8,0.08333333333333333,2.343592,0.4266954316280308
1,42,1000,250,16,8,0.16666666666666666,8.470831,0.1180521722130922
1,42,1000,500,8,8,0.0,10.562776,0.09467208241469856
1,42,1000,500,16,8,0.08333333333333333,3.814708,0.26214326234144264
1,42,5000,50,8,8,0.08333333333333333,39.91299,0.025054499800691455
1,42,5000,50,16,8,0.08333333333333333,46.574268,0.02147108356056181
1,42,5000,100,8,8,0.08333333333333333,87.800809,0.011389416696604697
1,42,5000,100,16,8,0.08333333333333333,27.949681,0.035778583662546985
1,42,5000,250,8,8,0.0,39.82715,0.025108500106083412
1,42,5000,250,16,8,0.08333333333333333,6.767205,0.1477714950263809
1,42,5000,500,8,8,0.0,5.281527,0.1893391816419759
1,42,5000,500,16,8,0.16666666666666666,7.802955,0.12815657657900117
1,42,5000,1500,8,8,0.08333333333333333,5.426969,0.1842649184102581
1,42,5000,1500,16,8,0.25,2.921907,0.3422422411117123
50,42,200,50,8,8,0.2510920479302832,388.073216,0.002576833336521735
50,42,200,50,16,8,0.29159586056644876,137.464918,0.007274583323142854
50,42,200,100,8,8,0.25558006535947714,6.108785,0.1636986733041022
50,42,200,100,16,8,0.31096755368814194,23.270065,0.04297366595237272
50,42,500,50,8,8,0.24071350762527233,62.055591,0.01611458345469629
50,42,500,50,16,8,0.3054306722689076,60.451573,0.016542166735677828
50,42,500,100,8,8,0.22817810457516338,18.120565,0.05518591721615745
50,42,500,100,16,8,0.35120175848117025,25.075226,0.03987999948634561
50,42,500,250,8,8,0.26937908496732027,21.086592,0.04742350020335197
50,42,500,250,16,8,0.30454559601618425,5.885948,0.16989616625902915
50,42,1000,50,8,8,0.231557734204793,38.798037,0.025774499879981042
50,42,1000,50,16,8,0.28084461562402735,37.079266,0.026969250146429546
50,42,1000,100,8,8,0.2891476034858388,40.73942,0.02454625029025941
50,42,1000,100,16,8,0.3421486928104575,51.703635,0.019340999912288565
50,42,1000,250,8,8,0.2940114379084967,12.351753,0.08096016816398449
50,42,1000,250,16,8,0.26274548708372236,7.293139,0.13711517084755961
50,42,1000,500,8,8,0.33132352941176474,10.589621,0.09443208590751266
50,42,1000,500,16,8,0.30019646747587925,10.073148,0.09927383177532982
