N,seed,k,L,w,recall,qps,time_per_query
10,42,2,5,20,0.2380952380952381,0.567973,1.7606470730122736
10,42,2,5,40,0.2380952380952381,0.818802,1.2212964794907681
10,42,2,5,80,0.2380952380952381,0.645451,1.5493042849108607
10,42,2,5,120,0.2380952380952381,0.466694,2.1427316400039427
10,42,2,5,300,0.2380952380952381,0.498915,2.00434943828107
10,42,2,5,500,0.2380952380952381,0.880245,1.1360473504535669
10,42,2,5,1000,0.2380952380952381,0.684714,1.4604637848795263
10,42,2,10,20,0.2380952380952381,0.426547,2.344407533050285
10,42,2,10,40,0.2380952380952381,0.411723,2.428817433080008
10,42,2,10,80,0.2380952380952381,0.463986,2.155237442509041
10,42,2,10,120,0.2380952380952381,0.492297,2.0312941171691072
10,42,2,10,300,0.2380952380952381,0.383615,2.6067802353922556
10,42,2,10,500,0.2380952380952381,0.52751,1.8956986597410475
10,42,2,10,1000,0.2380952380952381,0.464125,2.1545919741448962
10,42,2,15,20,0.2380952380952381,0.387709,2.5792540281499785
10,42,2,15,40,0.2380952380952381,0.467573,2.138703475179277
10,42,2,15,80,0.2380952380952381,0.420778,2.3765501048058595
10,42,2,15,120,0.2380952380952381,0.432734,2.310888444171246
10,42,2,15,300,0.2380952380952381,0.354845,2.8181318603897476
10,42,2,15,500,0.2380952380952381,0.320592,3.1192294255627093
10,42,2,15,1000,0.2380952380952381,0.436794,2.289408737299505
10,42,4,5,20,0.2380952380952381,0.36153,2.7660221834979115
10,42,4,5,40,0.2380952380952381,0.727637,1.3743116416564853
10,42,4,5,80,0.2380952380952381,0.534257,1.871758348510174
10,42,4,5,120,0.2380952380952381,0.687487,1.454572959197774
10,42,4,5,300,0.2380952380952381,0.551444,1.8134207643931204
10,42,4,5,500,0.2380952380952381,0.564289,1.7721415799351041
10,42,4,5,1000,0.2380952380952381,0.468848,2.132887417670546
10,42,4,10,20,0.2380952380952381,0.532399,1.878290530222634
10,42,4,10,40,0.2380952380952381,0.346978,2.8820271025828728
10,42,4,10,80,0.2380952380952381,0.355228,2.815093404799171
10,42,4,10,120,0.2380952380952381,0.535964,1.8657969565120045
10,42,4,10,300,0.2380952380952381,0.671577,1.4890325308937025
10,42,4,10,500,0.2380952380952381,0.573342,1.744159681307143
10,42,4,10,1000,0.2380952380952381,0.460626,2.1709586519215156
10,42,4,15,20,0.2380952380952381,0.410476,2.436196026077042
10,42,4,15,40,0.2380952380952381,0.372758,2.6827056696301623
10,42,4,15,80,0.2380952380952381,0.466056,2.14566489863879
10,42,4,15,120,0.2380952380952381,0.408056,2.450644029250887
10,42,4,15,300,0.2380952380952381,0.663137,1.5079840214013094
10,42,4,15,500,0.2380952380952381,0.46766,2.1383056066373003
10,42,4,15,1000,0.2380952380952381,0.458274,2.1821006646678622
10,42,6,5,20,0.2380952380952381,0.532881,1.8765915842373813
10,42,6,5,40,0.2380952380952381,0.556611,1.7965868443131738
10,42,6,5,80,0.2380952380952381,0.675295,1.4808343020457726
10,42,6,5,120,0.2380952380952381,0.606103,1.6498845905728896
10,42,6,5,300,0.2380952380952381,0.924299,1.0819009865855096
10,42,6,5,500,0.2380952380952381,0.666528,1.5003120649095012
10,42,6,5,1000,0.2380952380952381,0.596261,1.6771179064201749
10,42,6,10,20,0.2380952380952381,0.502311,1.9907985291980468
10,42,6,10,40,0.2380952380952381,0.577548,1.7314578182246325
10,42,6,10,80,0.2380952380952381,0.798903,1.251716416135626
10,42,6,10,120,0.2380952380952381,0.436989,2.288387121872633
10,42,6,10,300,0.2380952380952381,0.693877,1.441177615052812
10,42,6,10,500,0.2380952380952381,0.461555,2.1665890305597384
10,42,6,10,1000,0.2380952380952381,0.473341,2.1126418374913647
10,42,6,15,20,0.2380952380952381,0.598629,1.6704837219713713
10,42,6,15,40,0.2380952380952381,0.448651,2.2289039810454003
10,42,6,15,80,0.2380952380952381,0.428133,2.335722777734956
10,42,6,15,120,0.2380952380952381,0.381673,2.6200438595342086
10,42,6,15,300,0.2380952380952381,0.3532,2.8312570781426953
10,42,6,15,500,0.2380952380952381,0.477778,2.093022282315218
10,42,6,15,1000,0.2380952380952381,0.434519,2.301395335992212
1,42,2,5,20,0.16666666666666666,1.645938,0.6075562992044659
1,42,2,5,40,0.16666666666666666,1.350258,0.7405992040039756
1,42,2,5,80,0.16666666666666666,1.069608,0.9349219527153874
1,42,2,5,120,0.16666666666666666,1.677375,0.5961696102541173
1,42,2,5,300,0.16666666666666666,1.719847,0.5814470705824414
1,42,2,5,500,0.16666666666666666,1.337359,0.7477423788227394
1,42,2,5,1000,0.16666666666666666,1.231412,0.8120758933646903
1,42,2,10,20,0.16666666666666666,1.230044,0.8129790479039775
1,42,2,10,40,0.16666666666666666,1.785203,0.5601603851214679
1,42,2,10,80,0.16666666666666666,1.227866,0.8144211176138113
