N,seed,nlsh_T,nlsh_m,nlsh_layers,nlsh_nodes,nlsh_epochs,nlsh_batch_size,nlsh_lr,recall,qps,time_per_query
10,42,1000,1800,5,128,8,512,0.001,0.2380952380952381,25.79355356,0.038769376917136965
10,42,1000,1800,5,256,8,512,0.001,0.2380952380952381,22.12891259,0.04518974874761345
10,42,1000,1800,5,512,8,512,0.001,0.2380952380952381,17.25196912,0.05796439774754246
10,42,1000,1800,10,128,8,512,0.001,0.2380952380952381,20.45768324,0.04888139034456963
10,42,1000,1800,10,256,8,512,0.001,0.2380952380952381,24.34862181,0.04107008634013524
10,42,1000,1800,10,512,8,512,0.001,0.2380952380952381,24.37923356,0.04101851674454363
10,42,1000,1800,15,128,8,512,0.001,0.2380952380952381,27.59818387,0.036234268338469475
10,42,1000,1800,15,256,8,512,0.001,0.2380952380952381,25.32600226,0.03948511058847232
10,42,1000,1800,15,512,8,512,0.001,0.2380952380952381,31.6058849,0.031639677331103615
10,42,1000,2000,5,128,8,512,0.001,0.2380952380952381,24.80823842,0.0403091901597421
10,42,1000,2000,5,256,8,512,0.001,0.2380952380952381,29.35559019,0.034065062004464505
10,42,1000,2000,5,512,8,512,0.001,0.2380952380952381,22.95713298,0.04355944624580033
10,42,1000,2000,10,128,8,512,0.001,0.2380952380952381,25.20087423,0.039681163076857276
10,42,1000,2000,10,256,8,512,0.001,0.2380952380952381,23.89191127,0.04185516967224196
10,42,1000,2000,10,512,8,512,0.001,0.2380952380952381,20.66459685,0.048391943344396775
10,42,1000,2000,15,128,8,512,0.001,0.2380952380952381,22.06720416,0.04531611674725178
10,42,1000,2000,15,256,8,512,0.001,0.2380952380952381,21.65467493,0.046179404827482215
10,42,1000,2000,15,512,8,512,0.001,0.2380952380952381,25.55660295,0.03912883108746658
10,42,1000,2200,5,128,8,512,0.001,0.2380952380952381,26.15342505,0.03823590975515461
10,42,1000,2200,5,256,8,512,0.001,0.2380952380952381,32.92247023,0.030374391502639077
10,42,1000,2200,5,512,8,512,0.001,0.2380952380952381,24.84026946,0.040257212250063894
10,42,1000,2200,10,128,8,512,0.001,0.2380952380952381,24.67712359,0.0405233614992808
10,42,1000,2200,10,256,8,512,0.001,0.2380952380952381,25.34276748,0.039458989662008295
10,42,1000,2200,10,512,8,512,0.001,0.2380952380952381,25.60972104,0.03904767250053576
10,42,1000,2200,15,128,8,512,0.001,0.2380952380952381,25.51354769,0.03919486275097479
10,42,1000,2200,15,256,8,512,0.001,0.2380952380952381,33.02893891,0.030276479747801864
10,42,1000,2200,15,512,8,512,0.001,0.2380952380952381,25.18230504,0.039710423585592465
10,42,1500,1800,5,128,8,512,0.001,0.2380952380952381,28.36388952,0.035256095582197146
10,42,1500,1800,5,256,8,512,0.001,0.2380952380952381,25.13480734,0.03978546509121562
10,42,1500,1800,5,512,8,512,0.001,0.2380952380952381,22.88349283,0.043699622580736945
10,42,1500,1800,10,128,8,512,0.001,0.2380952380952381,27.66595417,0.036145509164631134
10,42,1500,1800,10,256,8,512,0.001,0.2380952380952381,20.94142365,0.04775224534459958
10,42,1500,1800,10,512,8,512,0.001,0.2380952380952381,20.85302685,0.04795466898849747
10,42,1500,1800,15,128,8,512,0.001,0.2380952380952381,22.20619552,0.04503247749482123
10,42,1500,1800,15,256,8,512,0.001,0.2380952380952381,23.24842064,0.0430136745839609
10,42,1500,1800,15,512,8,512,0.001,0.2380952380952381,23.59413111,0.042383421340579305
10,42,1500,2000,5,128,8,512,0.001,0.2380952380952381,26.74136928,0.03739524291106158
10,42,1500,2000,5,256,8,512,0.001,0.2380952380952381,27.65836197,0.03615543108028823
10,42,1500,2000,5,512,8,512,0.001,0.2380952380952381,19.51131864,0.051252302238040844
10,42,1500,2000,10,128,8,512,0.001,0.2380952380952381,20.61226932,0.04851479400328348
10,42,1500,2000,10,256,8,512,0.001,0.2380952380952381,26.72417525,0.037419302584464235
10,42,1500,2000,10,512,8,512,0.001,0.2380952380952381,24.17064646,0.04137249707635664
10,42,1500,2000,15,128,8,512,0.001,0.2380952380952381,23.83505726,0.0419550072438131
10,42,1500,2000,15,256,8,512,0.001,0.2380952380952381,26.537517,0.03768250058963692
10,42,1500,2000,15,512,8,512,0.001,0.2380952380952381,21.83278807,0.04580267058855759
10,42,1500,2200,5,128,8,512,0.001,0.2380952380952381,19.92524963,0.050187576997498325
10,42,1500,2200,5,256,8,512,0.001,0.2380952380952381,20.10030515,0.0497504884894745
10,42,1500,2200,5,512,8,512,0.001,0.2380952380952381,30.33792758,0.03296204057983317
10,42,1500,2200,10,128,8,512,0.001,0.2380952380952381,24.82721227,0.04027838442451114
10,42,1500,2200,10,256,8,512,0.001,0.2380952380952381,24.88747398,0.04018085567075297
10,42,1500,2200,10,512,8,512,0.001,0.2380952380952381,18.55373012,0.05389751783238723
