IVFPQ

Query: A0A001
Nearest neighbor-1: A5WJJ8, Distance: 2.081
Nearest neighbor-2: P64708, Distance: 2.081
Nearest neighbor-3: D3KU66, Distance: 2.085
Nearest neighbor-4: A4X1R6, Distance: 2.124
Nearest neighbor-5: A1UKA3, Distance: 2.142
Nearest neighbor-6: P9WGX2, Distance: 2.154
Nearest neighbor-7: Q82G92, Distance: 2.164
Nearest neighbor-8: P9WIL0, Distance: 2.169
Nearest neighbor-9: C7MSY6, Distance: 2.175
Nearest neighbor-10: B1VN94, Distance: 2.190
Nearest neighbor-11: D2Q1C4, Distance: 2.194
Nearest neighbor-12: B8J6V6, Distance: 2.211
Nearest neighbor-13: E1V4F9, Distance: 2.215
Nearest neighbor-14: A0QS28, Distance: 2.223
Nearest neighbor-15: B7GQ78, Distance: 2.276
Nearest neighbor-16: P64866, Distance: 2.292
Nearest neighbor-17: Q9EX73, Distance: 2.300
Nearest neighbor-18: A9INR9, Distance: 2.315
Nearest neighbor-19: A3NWL7, Distance: 2.341
Nearest neighbor-20: Q9PFN3, Distance: 2.354
Nearest neighbor-21: B7KSC1, Distance: 2.355
Nearest neighbor-22: A8L764, Distance: 2.363
Nearest neighbor-23: Q87BC5, Distance: 2.372
Nearest neighbor-24: C6E5S6, Distance: 2.389
Nearest neighbor-25: Q8PCK0, Distance: 2.406
Nearest neighbor-26: Q0AMW7, Distance: 2.413
Nearest neighbor-27: Q9L7M3, Distance: 2.424
Nearest neighbor-28: P9WKY6, Distance: 2.441
Nearest neighbor-29: Q7U1S4, Distance: 2.446
Nearest neighbor-30: A9W3H8, Distance: 2.447
Nearest neighbor-31: Q609F9, Distance: 2.448
Nearest neighbor-32: Q5FUJ5, Distance: 2.452
Nearest neighbor-33: P43904, Distance: 2.467
Nearest neighbor-34: P9WK85, Distance: 2.477
Nearest neighbor-35: A9IMI9, Distance: 2.486
Nearest neighbor-36: P9WPW8, Distance: 2.502
Nearest neighbor-37: P9WPW9, Distance: 2.502
Nearest neighbor-38: Q8XU66, Distance: 2.519
Nearest neighbor-39: Q11CM4, Distance: 2.525
Nearest neighbor-40: Q7W6L5, Distance: 2.577
Nearest neighbor-41: Q2MF70, Distance: 2.599
Nearest neighbor-42: A4VPB6, Distance: 2.611
Nearest neighbor-43: B0R403, Distance: 2.624
Nearest neighbor-44: B1LVB8, Distance: 2.631
Nearest neighbor-45: C0RFV7, Distance: 2.663
Nearest neighbor-46: B2S968, Distance: 2.668
Nearest neighbor-47: Q0C6A6, Distance: 2.687
Nearest neighbor-48: Q8PF23, Distance: 2.718
Nearest neighbor-49: Q9I0F2, Distance: 2.728
Nearest neighbor-50: P95389, Distance: 2.859

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q68XI8, Distance: 2.551
Nearest neighbor-11: B5XWP9, Distance: 2.557
Nearest neighbor-12: A9N025, Distance: 2.626
Nearest neighbor-13: A8AH10, Distance: 2.644
Nearest neighbor-14: P39099, Distance: 2.656
Nearest neighbor-15: Q9Z4H7, Distance: 2.725
Nearest neighbor-16: O06432, Distance: 2.765
Nearest neighbor-17: A5TY84, Distance: 2.767
Nearest neighbor-18: Q4R4J7, Distance: 2.806
Nearest neighbor-19: Q4IJH1, Distance: 2.822
Nearest neighbor-20: A6ZQH3, Distance: 2.837
Nearest neighbor-21: Q4P3U9, Distance: 2.871
Nearest neighbor-22: A0A0M4FTF3, Distance: 2.871
Nearest neighbor-23: O52042, Distance: 2.904
Nearest neighbor-24: P08003, Distance: 2.937
Nearest neighbor-25: B4RCD1, Distance: 2.938
Nearest neighbor-26: Q00248, Distance: 2.940
Nearest neighbor-27: Q8FEI7, Distance: 2.952
Nearest neighbor-28: Q0CZS8, Distance: 2.974
Nearest neighbor-29: A8ANX1, Distance: 2.987
Nearest neighbor-30: A1AV44, Distance: 3.009
Nearest neighbor-31: P39046, Distance: 3.025
Nearest neighbor-32: A7MJ63, Distance: 3.043
Nearest neighbor-33: P13113, Distance: 3.074
Nearest neighbor-34: Q2HGF7, Distance: 3.099
Nearest neighbor-35: O34966, Distance: 3.122
Nearest neighbor-36: Q51463, Distance: 3.130
Nearest neighbor-37: Q9VIF6, Distance: 3.136
Nearest neighbor-38: A8ZV83, Distance: 3.142
Nearest neighbor-39: P56416, Distance: 3.143
Nearest neighbor-40: Q8DQ24, Distance: 3.149
Nearest neighbor-41: C1CK62, Distance: 3.150
Nearest neighbor-42: Q0J9V5, Distance: 3.187
Nearest neighbor-43: Q9L7M1, Distance: 3.199
Nearest neighbor-44: Q9I4Z4, Distance: 3.264
Nearest neighbor-45: Q71XE6, Distance: 3.266
Nearest neighbor-46: Q929F4, Distance: 3.281
Nearest neighbor-47: O52069, Distance: 3.287
Nearest neighbor-48: P96499, Distance: 3.361
Nearest neighbor-49: Q10168, Distance: 3.369
Nearest neighbor-50: P20075, Distance: 3.442

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: Q5E3W8, Distance: 0.915
Nearest neighbor-3: O87455, Distance: 0.955
Nearest neighbor-4: P59402, Distance: 0.987
Nearest neighbor-5: A8A3I6, Distance: 0.999
Nearest neighbor-6: B6I695, Distance: 1.009
Nearest neighbor-7: A1KU52, Distance: 1.011
Nearest neighbor-8: B7N6T9, Distance: 1.013
Nearest neighbor-9: Q0TEH1, Distance: 1.015
Nearest neighbor-10: B4T3B0, Distance: 1.029
Nearest neighbor-11: B4TT16, Distance: 1.039
Nearest neighbor-12: Q8EEF3, Distance: 1.051
Nearest neighbor-13: P37931, Distance: 1.066
Nearest neighbor-14: Q3K999, Distance: 1.069
Nearest neighbor-15: B5F3J7, Distance: 1.088
Nearest neighbor-16: P66756, Distance: 1.088
Nearest neighbor-17: P0A812, Distance: 1.095
Nearest neighbor-18: Q15RN6, Distance: 1.100
Nearest neighbor-19: B7NBL1, Distance: 1.103
Nearest neighbor-20: Q03R36, Distance: 1.103
Nearest neighbor-21: Q03YJ6, Distance: 1.105
Nearest neighbor-22: A5FRK7, Distance: 1.124
Nearest neighbor-23: Q220I3, Distance: 1.135
Nearest neighbor-24: B0JY77, Distance: 1.142
Nearest neighbor-25: A1U1B9, Distance: 1.176
Nearest neighbor-26: A4STH5, Distance: 1.188
Nearest neighbor-27: Q5H2A4, Distance: 1.188
Nearest neighbor-28: Q3BQF5, Distance: 1.191
Nearest neighbor-29: Q13UC0, Distance: 1.192
Nearest neighbor-30: Q7WGB3, Distance: 1.214
Nearest neighbor-31: P0DF50, Distance: 1.220
Nearest neighbor-32: Q88V03, Distance: 1.229
Nearest neighbor-33: Q9KDI8, Distance: 1.240
Nearest neighbor-34: Q83BE0, Distance: 1.259
Nearest neighbor-35: Q92BI2, Distance: 1.263
Nearest neighbor-36: Q634C4, Distance: 1.284
Nearest neighbor-37: Q6HDA6, Distance: 1.284
Nearest neighbor-38: Q817W4, Distance: 1.289
Nearest neighbor-39: B4SDZ7, Distance: 1.295
Nearest neighbor-40: A5WFF6, Distance: 1.312
Nearest neighbor-41: A8ZUH7, Distance: 1.313
Nearest neighbor-42: Q4FTT9, Distance: 1.315
Nearest neighbor-43: O94449, Distance: 1.336
Nearest neighbor-44: P29570, Distance: 1.380
Nearest neighbor-45: B2ISI4, Distance: 1.397
Nearest neighbor-46: Q05B83, Distance: 1.416
Nearest neighbor-47: A2SQT3, Distance: 1.423
Nearest neighbor-48: Q2RHT7, Distance: 1.495
Nearest neighbor-49: C5A6P8, Distance: 1.605
Nearest neighbor-50: Q9V287, Distance: 1.623

Query: A0A009I3Y5
Nearest neighbor-1: P14181, Distance: 1.687
Nearest neighbor-2: A5UG81, Distance: 1.750
Nearest neighbor-3: Q4QLU9, Distance: 1.906
Nearest neighbor-4: P75612, Distance: 2.058
Nearest neighbor-5: B0V636, Distance: 2.109
Nearest neighbor-6: A9L3X6, Distance: 2.111
Nearest neighbor-7: A6VLF9, Distance: 2.114
Nearest neighbor-8: Q7VM59, Distance: 2.141
Nearest neighbor-9: B4ET17, Distance: 2.150
Nearest neighbor-10: B0V7R3, Distance: 2.152
Nearest neighbor-11: B7UKC3, Distance: 2.162
Nearest neighbor-12: A1AGU2, Distance: 2.164
Nearest neighbor-13: Q1R5L6, Distance: 2.164
Nearest neighbor-14: C5BC48, Distance: 2.183
Nearest neighbor-15: B7MJ93, Distance: 2.193
Nearest neighbor-16: B2TWG0, Distance: 2.197
Nearest neighbor-17: A7ZZ64, Distance: 2.197
Nearest neighbor-18: C3LP59, Distance: 2.211
Nearest neighbor-19: B7MTN6, Distance: 2.214
Nearest neighbor-20: B1LNS5, Distance: 2.218
Nearest neighbor-21: P76261, Distance: 2.230
Nearest neighbor-22: B0VKL3, Distance: 2.238
Nearest neighbor-23: A8GL74, Distance: 2.241
Nearest neighbor-24: B5BJN9, Distance: 2.249
Nearest neighbor-25: Q5PK68, Distance: 2.249
Nearest neighbor-26: Q3YZN7, Distance: 2.279
Nearest neighbor-27: Q8XCQ7, Distance: 2.284
Nearest neighbor-28: A1ADH3, Distance: 2.291
Nearest neighbor-29: Q1CGA8, Distance: 2.319
Nearest neighbor-30: Q1CHL1, Distance: 2.328
Nearest neighbor-31: A7FGL1, Distance: 2.334
Nearest neighbor-32: Q6D3S2, Distance: 2.351
Nearest neighbor-33: A8FRM9, Distance: 2.385
Nearest neighbor-34: Q2NQZ6, Distance: 2.397
Nearest neighbor-35: B1JQP6, Distance: 2.424
Nearest neighbor-36: Q57R80, Distance: 2.448
Nearest neighbor-37: Q5PGN2, Distance: 2.455
Nearest neighbor-38: C3K2F6, Distance: 2.483
Nearest neighbor-39: Q74SR9, Distance: 2.483
Nearest neighbor-40: Q9RHS9, Distance: 2.486
Nearest neighbor-41: B1LGS2, Distance: 2.531
Nearest neighbor-42: P09158, Distance: 2.531
Nearest neighbor-43: C5BED3, Distance: 2.541
Nearest neighbor-44: P66834, Distance: 2.541
Nearest neighbor-45: Q9PH03, Distance: 2.547
Nearest neighbor-46: A4W6M6, Distance: 2.583
Nearest neighbor-47: B5FIB4, Distance: 2.634
Nearest neighbor-48: Q8ZRS3, Distance: 2.634
Nearest neighbor-49: B5BL97, Distance: 2.636
Nearest neighbor-50: B2VD21, Distance: 2.642

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: A1CBB8, Distance: 1.373
Nearest neighbor-8: Q9P7C0, Distance: 1.379
Nearest neighbor-9: Q24246, Distance: 1.385
Nearest neighbor-10: A2RAG5, Distance: 1.388
Nearest neighbor-11: A1DE24, Distance: 1.432
Nearest neighbor-12: Q8BX09, Distance: 1.439
Nearest neighbor-13: Q5ZMV9, Distance: 1.462
Nearest neighbor-14: Q20059, Distance: 1.473
Nearest neighbor-15: A1DIN7, Distance: 1.491
Nearest neighbor-16: O35828, Distance: 1.503
Nearest neighbor-17: A1CXL0, Distance: 1.532
