IVFPQ

Query: A0A002
Nearest neighbor-1: Q13BH6, Distance: 1.433
Nearest neighbor-2: P23886, Distance: 1.758
Nearest neighbor-3: Q51719, Distance: 1.778
Nearest neighbor-4: A0K739, Distance: 1.826
Nearest neighbor-5: Q7VZE5, Distance: 1.898
Nearest neighbor-6: Q7WGW1, Distance: 1.899
Nearest neighbor-7: Q21BF6, Distance: 1.937
Nearest neighbor-8: Q3KJQ7, Distance: 2.105
Nearest neighbor-9: C7MSY6, Distance: 2.128
Nearest neighbor-10: Q4ZZK0, Distance: 2.152
Nearest neighbor-11: A4X1R6, Distance: 2.156
Nearest neighbor-12: D2Q1C4, Distance: 2.172
Nearest neighbor-13: Q3SQ65, Distance: 2.179
Nearest neighbor-14: Q665B6, Distance: 2.180
Nearest neighbor-15: A5VU86, Distance: 2.183
Nearest neighbor-16: Q4KBU0, Distance: 2.199
Nearest neighbor-17: Q3KKA1, Distance: 2.212
Nearest neighbor-18: Q88RL1, Distance: 2.227
Nearest neighbor-19: Q9Z651, Distance: 2.242
Nearest neighbor-20: Q576E0, Distance: 2.246
Nearest neighbor-21: Q9PF03, Distance: 2.254
Nearest neighbor-22: Q3KJS6, Distance: 2.264
Nearest neighbor-23: Q2SB47, Distance: 2.269
Nearest neighbor-24: Q66D71, Distance: 2.282
Nearest neighbor-25: Q987E7, Distance: 2.293
Nearest neighbor-26: Q9AB70, Distance: 2.306
Nearest neighbor-27: Q3Z3V4, Distance: 2.329
Nearest neighbor-28: P75796, Distance: 2.335
Nearest neighbor-29: Q0ASQ1, Distance: 2.352
Nearest neighbor-30: B4TGI0, Distance: 2.353
Nearest neighbor-31: A7ZLX1, Distance: 2.377
Nearest neighbor-32: Q31VE6, Distance: 2.436
Nearest neighbor-33: Q1H0W2, Distance: 2.437
Nearest neighbor-34: Q1C812, Distance: 2.458
Nearest neighbor-35: Q1MBG4, Distance: 2.464
Nearest neighbor-36: Q66AT7, Distance: 2.471
Nearest neighbor-37: Q2KAW9, Distance: 2.501
Nearest neighbor-38: Q8XAY7, Distance: 2.520
Nearest neighbor-39: B7MAS0, Distance: 2.545
Nearest neighbor-40: B2K3G1, Distance: 2.576
Nearest neighbor-41: Q21QL9, Distance: 2.577
Nearest neighbor-42: Q3YUN6, Distance: 2.591
Nearest neighbor-43: Q56953, Distance: 2.619
Nearest neighbor-44: A1JJ55, Distance: 2.619
Nearest neighbor-45: Q7N3Q4, Distance: 2.773
Nearest neighbor-46: Q9PJX9, Distance: 2.797
Nearest neighbor-47: Q1CDC0, Distance: 2.811
Nearest neighbor-48: Q663Y5, Distance: 2.811
Nearest neighbor-49: Q1CFV9, Distance: 2.853
Nearest neighbor-50: Q9Z810, Distance: 2.912

Query: A0A010Q3W2
Nearest neighbor-1: D1ZEM6, Distance: 1.149
Nearest neighbor-2: Q2UUT4, Distance: 1.179
Nearest neighbor-3: A2QI22, Distance: 1.235
Nearest neighbor-4: P0CS56, Distance: 1.237
Nearest neighbor-5: A1CXL0, Distance: 1.244
Nearest neighbor-6: P0CS29, Distance: 1.286
Nearest neighbor-7: Q9S7I8, Distance: 1.298
Nearest neighbor-8: Q9SU78, Distance: 1.312
Nearest neighbor-9: Q756D0, Distance: 1.316
Nearest neighbor-10: Q9P7C0, Distance: 1.318
Nearest neighbor-11: A2RAG5, Distance: 1.326
Nearest neighbor-12: C1GB49, Distance: 1.326
Nearest neighbor-13: O35828, Distance: 1.332
Nearest neighbor-14: Q8VYZ5, Distance: 1.352
Nearest neighbor-15: O82266, Distance: 1.358
Nearest neighbor-16: Q652L2, Distance: 1.370
Nearest neighbor-17: Q6C709, Distance: 1.371
Nearest neighbor-18: A8NZM5, Distance: 1.381
Nearest neighbor-19: A1CBB8, Distance: 1.384
Nearest neighbor-20: Q8TEB1, Distance: 1.391
Nearest neighbor-21: Q5NVM2, Distance: 1.393
Nearest neighbor-22: A4IGH4, Distance: 1.400
Nearest neighbor-23: C5DF48, Distance: 1.410
Nearest neighbor-24: A1DE24, Distance: 1.417
Nearest neighbor-25: Q96U88, Distance: 1.420
Nearest neighbor-26: O22785, Distance: 1.433
Nearest neighbor-27: G5EEG7, Distance: 1.437
Nearest neighbor-28: Q8BX09, Distance: 1.441
