IVFPQ

Query: A0A002
Nearest neighbor-1: P9WQJ3, Distance: 1.334
Nearest neighbor-2: Q13BH6, Distance: 1.433
Nearest neighbor-3: Q03024, Distance: 1.503
Nearest neighbor-4: Q20Z38, Distance: 1.530
Nearest neighbor-5: Q8P8W4, Distance: 1.746
Nearest neighbor-6: P23886, Distance: 1.758
Nearest neighbor-7: Q51719, Distance: 1.778
Nearest neighbor-8: Q82MV1, Distance: 1.793
Nearest neighbor-9: A0K739, Distance: 1.826
Nearest neighbor-10: P9WQJ4, Distance: 1.892
Nearest neighbor-11: Q7VZE5, Distance: 1.898
Nearest neighbor-12: Q7WGW1, Distance: 1.899
Nearest neighbor-13: Q21BF6, Distance: 1.937
Nearest neighbor-14: A6W3V7, Distance: 1.946
Nearest neighbor-15: Q9RKQ4, Distance: 1.961
Nearest neighbor-16: Q2T751, Distance: 1.979
Nearest neighbor-17: Q89ER4, Distance: 2.011
Nearest neighbor-18: P9WHI9, Distance: 2.044
Nearest neighbor-19: A8LVH1, Distance: 2.058
Nearest neighbor-20: Q63NR0, Distance: 2.071
Nearest neighbor-21: O69051, Distance: 2.073
Nearest neighbor-22: Q0BH79, Distance: 2.129
Nearest neighbor-23: Q62H59, Distance: 2.135
Nearest neighbor-24: A0K5N5, Distance: 2.137
Nearest neighbor-25: Q8GNH6, Distance: 2.145
Nearest neighbor-26: A5WJJ8, Distance: 2.150
Nearest neighbor-27: P64708, Distance: 2.150
Nearest neighbor-28: Q4ZZK0, Distance: 2.152
Nearest neighbor-29: A4X1R6, Distance: 2.156
Nearest neighbor-30: Q3SQ65, Distance: 2.179
Nearest neighbor-31: Q665B6, Distance: 2.180
Nearest neighbor-32: A5VU86, Distance: 2.183
Nearest neighbor-33: Q82G92, Distance: 2.188
Nearest neighbor-34: Q4KBU0, Distance: 2.199
Nearest neighbor-35: Q3KKA1, Distance: 2.212
Nearest neighbor-36: Q9Z651, Distance: 2.242
Nearest neighbor-37: Q9PF03, Distance: 2.254
Nearest neighbor-38: Q5P1F3, Distance: 2.270
Nearest neighbor-39: Q987E7, Distance: 2.293
Nearest neighbor-40: Q3Z3V4, Distance: 2.329
Nearest neighbor-41: P75796, Distance: 2.335
Nearest neighbor-42: A1UKA3, Distance: 2.340
Nearest neighbor-43: Q92W60, Distance: 2.347
