IVFPQ

Query: A0A001
Nearest neighbor-1: Q03024, Distance: 1.465
Nearest neighbor-2: Q9ZEP3, Distance: 1.757
Nearest neighbor-3: A0K739, Distance: 1.761
Nearest neighbor-4: Q51719, Distance: 1.770
Nearest neighbor-5: Q21BF6, Distance: 1.831
Nearest neighbor-6: Q82MV1, Distance: 1.872
Nearest neighbor-7: P9WQJ4, Distance: 1.903
Nearest neighbor-8: A3Q5L8, Distance: 1.910
Nearest neighbor-9: Q7WGW1, Distance: 1.919
Nearest neighbor-10: Q7VZE5, Distance: 1.923
Nearest neighbor-11: Q2T751, Distance: 2.038
Nearest neighbor-12: Q89ER4, Distance: 2.054
Nearest neighbor-13: Q67JX3, Distance: 2.061
Nearest neighbor-14: Q9RQQ9, Distance: 2.078
Nearest neighbor-15: P64708, Distance: 2.081
Nearest neighbor-16: A5WJJ8, Distance: 2.081
Nearest neighbor-17: D3KU66, Distance: 2.085
Nearest neighbor-18: Q62H59, Distance: 2.092
Nearest neighbor-19: A4X1R6, Distance: 2.124
Nearest neighbor-20: Q87UH7, Distance: 2.125
Nearest neighbor-21: O69051, Distance: 2.125
Nearest neighbor-22: A1UKA3, Distance: 2.142
Nearest neighbor-23: P9WGX2, Distance: 2.154
Nearest neighbor-24: Q4ZZK0, Distance: 2.161
Nearest neighbor-25: Q82G92, Distance: 2.164
Nearest neighbor-26: A8LVF4, Distance: 2.175
Nearest neighbor-27: C7MSY6, Distance: 2.175
Nearest neighbor-28: Q0BH79, Distance: 2.180
Nearest neighbor-29: A0K5N5, Distance: 2.193
Nearest neighbor-30: D2Q1C4, Distance: 2.194
Nearest neighbor-31: P0DMK6, Distance: 2.201
Nearest neighbor-32: B8J6V6, Distance: 2.211
Nearest neighbor-33: Q92N13, Distance: 2.220
Nearest neighbor-34: Q665B6, Distance: 2.223
Nearest neighbor-35: A5VU86, Distance: 2.223
Nearest neighbor-36: Q66D71, Distance: 2.255
Nearest neighbor-37: B7GQ78, Distance: 2.276
Nearest neighbor-38: Q987E7, Distance: 2.279
Nearest neighbor-39: Q9PF03, Distance: 2.282
Nearest neighbor-40: Q5P1F3, Distance: 2.287
Nearest neighbor-41: P64866, Distance: 2.292
Nearest neighbor-42: Q9Z651, Distance: 2.332
Nearest neighbor-43: Q9HYL7, Distance: 2.339
Nearest neighbor-44: Q92W60, Distance: 2.383
Nearest neighbor-45: B4TGI0, Distance: 2.394
Nearest neighbor-46: Q7NTN6, Distance: 2.420
Nearest neighbor-47: A7ZLX1, Distance: 2.433
Nearest neighbor-48: Q9F9B0, Distance: 2.454
Nearest neighbor-49: Q1H0W2, Distance: 2.470
Nearest neighbor-50: Q2KAW9, Distance: 2.502

Query: A0A010Q3W2
Nearest neighbor-1: D1ZEM6, Distance: 1.149
Nearest neighbor-2: Q2UUT4, Distance: 1.179
Nearest neighbor-3: A2QI22, Distance: 1.235
Nearest neighbor-4: P0CS56, Distance: 1.237
Nearest neighbor-5: A1CXL0, Distance: 1.244
Nearest neighbor-6: P0CS29, Distance: 1.286
Nearest neighbor-7: Q9S7I8, Distance: 1.298
Nearest neighbor-8: Q9SU78, Distance: 1.312
Nearest neighbor-9: Q756D0, Distance: 1.316
Nearest neighbor-10: Q9P7C0, Distance: 1.318
Nearest neighbor-11: A2RAG5, Distance: 1.326
Nearest neighbor-12: C1GB49, Distance: 1.326
Nearest neighbor-13: O35828, Distance: 1.332
Nearest neighbor-14: Q8VYZ5, Distance: 1.352
Nearest neighbor-15: O82266, Distance: 1.358
Nearest neighbor-16: Q652L2, Distance: 1.370
Nearest neighbor-17: Q20059, Distance: 1.371
Nearest neighbor-18: Q6C709, Distance: 1.371
Nearest neighbor-19: A8NZM5, Distance: 1.381
Nearest neighbor-20: A1CBB8, Distance: 1.384
Nearest neighbor-21: Q8TEB1, Distance: 1.391
Nearest neighbor-22: Q5NVM2, Distance: 1.393
Nearest neighbor-23: A4IGH4, Distance: 1.400
Nearest neighbor-24: C5DF48, Distance: 1.410
Nearest neighbor-25: A1DE24, Distance: 1.417
Nearest neighbor-26: Q96U88, Distance: 1.420
Nearest neighbor-27: A8XSW2, Distance: 1.420
Nearest neighbor-28: Q4R4I8, Distance: 1.438
Nearest neighbor-29: Q8BX09, Distance: 1.441
Nearest neighbor-30: Q4P553, Distance: 1.446
Nearest neighbor-31: Q8CFJ9, Distance: 1.451
Nearest neighbor-32: Q9LJN8, Distance: 1.461
Nearest neighbor-33: O43660, Distance: 1.463
Nearest neighbor-34: Q9WUC8, Distance: 1.467
Nearest neighbor-35: Q8R2N2, Distance: 1.479
Nearest neighbor-36: Q8BH57, Distance: 1.483
Nearest neighbor-37: P0CS37, Distance: 1.489
Nearest neighbor-38: P0DL28, Distance: 1.494
Nearest neighbor-39: Q2T9T9, Distance: 1.498
Nearest neighbor-40: Q2UA71, Distance: 1.511
Nearest neighbor-41: Q8C6G8, Distance: 1.512
Nearest neighbor-42: Q6CKE8, Distance: 1.518
Nearest neighbor-43: P93107, Distance: 1.525
Nearest neighbor-44: P0CS40, Distance: 1.550
Nearest neighbor-45: A2QPW4, Distance: 1.587
Nearest neighbor-46: Q9Y263, Distance: 1.598
Nearest neighbor-47: Q6P315, Distance: 1.633
Nearest neighbor-48: Q5R654, Distance: 1.671
Nearest neighbor-49: Q8TBZ3, Distance: 1.685
Nearest neighbor-50: Q71UF4, Distance: 1.705

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: Q06065, Distance: 0.887
Nearest neighbor-3: Q5E3W8, Distance: 0.915
Nearest neighbor-4: P23747, Distance: 0.951
Nearest neighbor-5: O87455, Distance: 0.955
Nearest neighbor-6: P59402, Distance: 0.987
Nearest neighbor-7: A8A3I6, Distance: 0.999
Nearest neighbor-8: B6I695, Distance: 1.009
Nearest neighbor-9: A1KU52, Distance: 1.011
Nearest neighbor-10: B7N6T9, Distance: 1.013
Nearest neighbor-11: Q0TEH1, Distance: 1.015
Nearest neighbor-12: P36219, Distance: 1.027
Nearest neighbor-13: B4T3B0, Distance: 1.029
Nearest neighbor-14: B4TT16, Distance: 1.039
Nearest neighbor-15: Q8EEF3, Distance: 1.051
Nearest neighbor-16: P37931, Distance: 1.066
Nearest neighbor-17: Q3K999, Distance: 1.069
Nearest neighbor-18: B5F3J7, Distance: 1.088
Nearest neighbor-19: P66756, Distance: 1.088
Nearest neighbor-20: P0A812, Distance: 1.095
Nearest neighbor-21: Q15RN6, Distance: 1.100
Nearest neighbor-22: B7NBL1, Distance: 1.103
Nearest neighbor-23: Q03YJ6, Distance: 1.105
Nearest neighbor-24: A5FRK7, Distance: 1.124
Nearest neighbor-25: Q220I3, Distance: 1.135
Nearest neighbor-26: P37930, Distance: 1.142
Nearest neighbor-27: B0JY77, Distance: 1.142
Nearest neighbor-28: A1U1B9, Distance: 1.176
Nearest neighbor-29: Q5H2A4, Distance: 1.188
