IVFPQ

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.519
Nearest neighbor-2: Q0HMR2, Distance: 0.521
Nearest neighbor-3: A0KGL5, Distance: 0.521
Nearest neighbor-4: A1A7A6, Distance: 0.573
Nearest neighbor-5: A7ZW09, Distance: 0.579
Nearest neighbor-6: B0BT63, Distance: 0.579
Nearest neighbor-7: Q48LP5, Distance: 0.609
Nearest neighbor-8: B5FI41, Distance: 0.610
Nearest neighbor-9: Q5PDF0, Distance: 0.613
Nearest neighbor-10: Q3KGV8, Distance: 0.669

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: P23747, Distance: 0.951
Nearest neighbor-3: A8A3I6, Distance: 0.999
Nearest neighbor-4: B6I695, Distance: 1.009
Nearest neighbor-5: B4T3B0, Distance: 1.029
Nearest neighbor-6: B4TT16, Distance: 1.039
Nearest neighbor-7: Q8EEF3, Distance: 1.051
Nearest neighbor-8: B5F3J7, Distance: 1.088
Nearest neighbor-9: P66756, Distance: 1.088
Nearest neighbor-10: Q03R36, Distance: 1.103

Query: A0A010Q8R4
Nearest neighbor-1: Q652L2, Distance: 1.226
Nearest neighbor-2: P0CS56, Distance: 1.244
Nearest neighbor-3: P0CS29, Distance: 1.268
Nearest neighbor-4: Q5NVM2, Distance: 1.330
Nearest neighbor-5: Q2UUT4, Distance: 1.341
Nearest neighbor-6: A1CBB8, Distance: 1.373
Nearest neighbor-7: Q9P7C0, Distance: 1.379
Nearest neighbor-8: Q24246, Distance: 1.385
Nearest neighbor-9: A2RAG5, Distance: 1.388
Nearest neighbor-10: Q8BX09, Distance: 1.439

Query: A0A009HPM0
Nearest neighbor-1: B1LNS5, Distance: 1.449
Nearest neighbor-2: Q88XP4, Distance: 1.452
Nearest neighbor-3: B0VRJ4, Distance: 1.482
Nearest neighbor-4: Q7MHY6, Distance: 1.486
Nearest neighbor-5: A3QHZ8, Distance: 1.497
Nearest neighbor-6: A8GL74, Distance: 1.512
Nearest neighbor-7: A3D8E4, Distance: 1.525
Nearest neighbor-8: A4TQK1, Distance: 1.585
Nearest neighbor-9: A9MRB9, Distance: 1.653
Nearest neighbor-10: B5F512, Distance: 1.656

Query: A0A010Q3W2
Nearest neighbor-1: D1ZEM6, Distance: 1.149
Nearest neighbor-2: Q2UUT4, Distance: 1.179
Nearest neighbor-3: A2QI22, Distance: 1.235
Nearest neighbor-4: P0CS56, Distance: 1.237
Nearest neighbor-5: A1CXL0, Distance: 1.244
Nearest neighbor-6: P0CS29, Distance: 1.286
Nearest neighbor-7: Q9S7I8, Distance: 1.298
Nearest neighbor-8: O82266, Distance: 1.358
Nearest neighbor-9: Q652L2, Distance: 1.370
Nearest neighbor-10: C5DF48, Distance: 1.410

Query: A0A009PCK4
Nearest neighbor-1: A5UG81, Distance: 1.720
Nearest neighbor-2: P44033, Distance: 1.840
Nearest neighbor-3: Q4QLU9, Distance: 1.912
Nearest neighbor-4: A1SW96, Distance: 2.015
Nearest neighbor-5: Q1Q8I2, Distance: 2.029
Nearest neighbor-6: Q7MAX6, Distance: 2.036
Nearest neighbor-7: Q8EIL1, Distance: 2.046
Nearest neighbor-8: Q7VP87, Distance: 2.048
Nearest neighbor-9: A3D8E4, Distance: 2.063
Nearest neighbor-10: B6EL06, Distance: 2.080

Query: A0A009I3Y5
Nearest neighbor-1: A5UG81, Distance: 1.750
Nearest neighbor-2: P44033, Distance: 1.860
Nearest neighbor-3: Q4QLU9, Distance: 1.906
Nearest neighbor-4: A1SW96, Distance: 2.021
Nearest neighbor-5: Q8EIL1, Distance: 2.030
Nearest neighbor-6: Q7MAX6, Distance: 2.032
Nearest neighbor-7: Q7VP87, Distance: 2.039
Nearest neighbor-8: A3D8E4, Distance: 2.056
Nearest neighbor-9: B6EL06, Distance: 2.084
Nearest neighbor-10: A8GL74, Distance: 2.241

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-2: P33112, Distance: 0.642
Nearest neighbor-3: Q99VW2, Distance: 0.660
Nearest neighbor-4: Q99RR6, Distance: 0.750
