IVFFlat

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 0.038
Nearest neighbor-2: P11961, Distance: 0.105
Nearest neighbor-3: Q9SQI8, Distance: 0.106
Nearest neighbor-4: P49786, Distance: 0.106
Nearest neighbor-5: P22439, Distance: 0.123
Nearest neighbor-6: P43874, Distance: 0.130
Nearest neighbor-7: P29337, Distance: 0.142
Nearest neighbor-8: P02904, Distance: 0.150
Nearest neighbor-9: Q06881, Distance: 0.154
Nearest neighbor-10: P0ABE1, Distance: 0.157
Nearest neighbor-11: Q68XI8, Distance: 0.166
Nearest neighbor-12: Q6MMS6, Distance: 0.169
Nearest neighbor-13: B5XWP9, Distance: 0.171
Nearest neighbor-14: A9H3S4, Distance: 0.177
Nearest neighbor-15: Q2UA18, Distance: 0.178
Nearest neighbor-16: P57003, Distance: 0.178
Nearest neighbor-17: B4T0Q0, Distance: 0.178
Nearest neighbor-18: A9N025, Distance: 0.179
Nearest neighbor-19: Q7NBW3, Distance: 0.179
Nearest neighbor-20: A8AH10, Distance: 0.180
Nearest neighbor-21: Q6MJ06, Distance: 0.180
Nearest neighbor-22: O06432, Distance: 0.181
Nearest neighbor-23: C6DH15, Distance: 0.181
Nearest neighbor-24: Q0RRT2, Distance: 0.182
Nearest neighbor-25: A1USC7, Distance: 0.183
Nearest neighbor-26: A7HWQ3, Distance: 0.183
Nearest neighbor-27: A0QJ48, Distance: 0.183
Nearest neighbor-28: Q6N4R8, Distance: 0.184
Nearest neighbor-29: Q7RYV0, Distance: 0.184
Nearest neighbor-30: P45523, Distance: 0.184
Nearest neighbor-31: Q3SSY1, Distance: 0.184
Nearest neighbor-32: A6UZI0, Distance: 0.184
Nearest neighbor-33: B5RCZ3, Distance: 0.184
Nearest neighbor-34: B0UHX7, Distance: 0.184
Nearest neighbor-35: A1SEI9, Distance: 0.184
Nearest neighbor-36: A0QV37, Distance: 0.184
Nearest neighbor-37: Q73SE8, Distance: 0.185
Nearest neighbor-38: Q2LQ88, Distance: 0.185
Nearest neighbor-39: Q7WRE0, Distance: 0.185
Nearest neighbor-40: B4RCD1, Distance: 0.185
Nearest neighbor-41: P08570, Distance: 0.185
Nearest neighbor-42: B8DVY5, Distance: 0.186
Nearest neighbor-43: Q2GCD1, Distance: 0.186
Nearest neighbor-44: Q56WK6, Distance: 0.187
Nearest neighbor-45: C0ZIG8, Distance: 0.188
