IVFPQ

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-2: P33112, Distance: 0.642
Nearest neighbor-3: Q99VW2, Distance: 0.660
Nearest neighbor-4: Q8CQ37, Distance: 0.675
Nearest neighbor-5: Q99RR6, Distance: 0.750
Nearest neighbor-6: Q9AE24, Distance: 0.779
Nearest neighbor-7: P28257, Distance: 0.784
Nearest neighbor-8: P0CAW8, Distance: 0.789
Nearest neighbor-9: A6WZ81, Distance: 0.853
Nearest neighbor-10: P45189, Distance: 0.885
Nearest neighbor-11: A0A0H2UQ68, Distance: 0.956
Nearest neighbor-12: P0A4H8, Distance: 0.980
Nearest neighbor-13: P0C000, Distance: 1.055
Nearest neighbor-14: Q2FH23, Distance: 1.055
Nearest neighbor-15: Q5HPC3, Distance: 1.102
Nearest neighbor-16: Q1XDE4, Distance: 1.169
Nearest neighbor-17: A0A0H3NGY1, Distance: 1.215
Nearest neighbor-18: P0AA17, Distance: 1.215
Nearest neighbor-19: Q9KM23, Distance: 1.239
Nearest neighbor-20: P26319, Distance: 1.248
Nearest neighbor-21: P96686, Distance: 1.275
Nearest neighbor-22: Q55890, Distance: 1.354
Nearest neighbor-23: Q7A3U5, Distance: 1.360
Nearest neighbor-24: Q5HEP0, Distance: 1.371
Nearest neighbor-25: Q6G850, Distance: 1.383
Nearest neighbor-26: Q6GFH3, Distance: 1.383
Nearest neighbor-27: P44845, Distance: 1.383
Nearest neighbor-28: P23620, Distance: 1.449
Nearest neighbor-29: Q52376, Distance: 1.494
Nearest neighbor-30: Q6GCL1, Distance: 1.670
Nearest neighbor-31: Q8NYH3, Distance: 1.670
Nearest neighbor-32: P60610, Distance: 1.678
Nearest neighbor-33: Q9ZM64, Distance: 1.744
Nearest neighbor-34: Q8GVV6, Distance: 1.750
Nearest neighbor-35: A1W0A5, Distance: 1.752
Nearest neighbor-36: A6QJN2, Distance: 1.772
Nearest neighbor-37: Q06065, Distance: 1.802
Nearest neighbor-38: Q4L8Q7, Distance: 1.818
Nearest neighbor-39: Q2KCH7, Distance: 1.826
Nearest neighbor-40: A5VUU3, Distance: 1.826
Nearest neighbor-41: A9MBQ2, Distance: 1.826
Nearest neighbor-42: Q73RG3, Distance: 1.844
Nearest neighbor-43: Q8CR97, Distance: 1.897
Nearest neighbor-44: Q2FY80, Distance: 2.050
Nearest neighbor-45: Q2EHL8, Distance: 2.061
Nearest neighbor-46: Q928L8, Distance: 2.072
Nearest neighbor-47: P54590, Distance: 2.082
Nearest neighbor-48: A0PZS6, Distance: 2.121
Nearest neighbor-49: P0C1Q1, Distance: 2.202
Nearest neighbor-50: O22022, Distance: 2.317

Query: A0A001
Nearest neighbor-1: P9WQJ3, Distance: 1.340
Nearest neighbor-2: Q13BH6, Distance: 1.423
Nearest neighbor-3: Q03024, Distance: 1.465
Nearest neighbor-4: Q20Z38, Distance: 1.526
Nearest neighbor-5: A0K739, Distance: 1.761
Nearest neighbor-6: Q8P8W4, Distance: 1.770
Nearest neighbor-7: Q51719, Distance: 1.770
Nearest neighbor-8: Q3JSR6, Distance: 1.794
Nearest neighbor-9: Q21BF6, Distance: 1.831
Nearest neighbor-10: Q82MV1, Distance: 1.872
Nearest neighbor-11: P9WQJ4, Distance: 1.903
Nearest neighbor-12: Q7WGW1, Distance: 1.919
Nearest neighbor-13: Q7VZE5, Distance: 1.923
Nearest neighbor-14: Q2J3T0, Distance: 1.965
Nearest neighbor-15: Q63NR0, Distance: 2.024
Nearest neighbor-16: Q67JX3, Distance: 2.061
Nearest neighbor-17: Q13RD3, Distance: 2.061
Nearest neighbor-18: Q6NDA6, Distance: 2.063
Nearest neighbor-19: P9WGD8, Distance: 2.072
Nearest neighbor-20: P64708, Distance: 2.081
Nearest neighbor-21: A5WJJ8, Distance: 2.081
Nearest neighbor-22: D3KU66, Distance: 2.085
Nearest neighbor-23: A4X1R6, Distance: 2.124
Nearest neighbor-24: A1UKA3, Distance: 2.142
Nearest neighbor-25: Q5PKT6, Distance: 2.145
