Neural LSH

Query: A0A009HN45
Nearest neighbor-1: A6QKD8, Distance: 0.143
Nearest neighbor-2: A7MSB2, Distance: 0.144
Nearest neighbor-3: Q3K063, Distance: 0.152
Nearest neighbor-4: Q9ZDW2, Distance: 0.153
Nearest neighbor-5: Q1MQP3, Distance: 0.154
Nearest neighbor-6: Q7VJC6, Distance: 0.160
Nearest neighbor-7: B0BT63, Distance: 0.160
Nearest neighbor-8: Q92H92, Distance: 0.163
Nearest neighbor-9: P52126, Distance: 0.163
Nearest neighbor-10: Q0HMR2, Distance: 0.165

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.107
Nearest neighbor-2: Q0HMR2, Distance: 0.107
Nearest neighbor-3: A0KGL5, Distance: 0.109
Nearest neighbor-4: A1A7A6, Distance: 0.121
Nearest neighbor-5: A7ZW09, Distance: 0.122
Nearest neighbor-6: B0BT63, Distance: 0.122
Nearest neighbor-7: A7MSB2, Distance: 0.124
Nearest neighbor-8: Q48LP5, Distance: 0.128
Nearest neighbor-9: B5FI41, Distance: 0.128
Nearest neighbor-10: Q5PDF0, Distance: 0.129

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 0.249
Nearest neighbor-2: Q652L2, Distance: 0.253
Nearest neighbor-3: P0CS56, Distance: 0.255
Nearest neighbor-4: P0CS29, Distance: 0.260
Nearest neighbor-5: A1DIN7, Distance: 0.269
Nearest neighbor-6: Q5NVM2, Distance: 0.276
Nearest neighbor-7: A2QGF0, Distance: 0.276
Nearest neighbor-8: Q6CXX3, Distance: 0.278
Nearest neighbor-9: Q2UUT4, Distance: 0.278
Nearest neighbor-10: C3VEQ3, Distance: 0.279

Query: A0A009HPM0
Nearest neighbor-1: Q612F5, Distance: 0.274
Nearest neighbor-2: Q5I0C3, Distance: 0.281
Nearest neighbor-3: Q9CMJ8, Distance: 0.293
Nearest neighbor-4: Q12KL2, Distance: 0.293
Nearest neighbor-5: P44440, Distance: 0.302
Nearest neighbor-6: Q9CP74, Distance: 0.305
Nearest neighbor-7: Q8DXM9, Distance: 0.306
Nearest neighbor-8: A5F3L5, Distance: 0.306
