IVFPQ

Query: A0A009HPM0
Nearest neighbor-1: B2TWG0, Distance: 1.437
Nearest neighbor-2: B1LNS5, Distance: 1.449
Nearest neighbor-3: A1RP91, Distance: 1.454
Nearest neighbor-4: B5BJN9, Distance: 1.457
Nearest neighbor-5: Q5PK68, Distance: 1.457
Nearest neighbor-6: B0VRJ4, Distance: 1.482
Nearest neighbor-7: Q7MHY6, Distance: 1.486
Nearest neighbor-8: A6VLF9, Distance: 1.487
Nearest neighbor-9: Q7MAX6, Distance: 1.495
Nearest neighbor-10: A3QHZ8, Distance: 1.497
Nearest neighbor-11: A8GL74, Distance: 1.512
Nearest neighbor-12: Q12SP8, Distance: 1.523
Nearest neighbor-13: A3D8E4, Distance: 1.525
Nearest neighbor-14: C5BC48, Distance: 1.536
Nearest neighbor-15: B6EL06, Distance: 1.543
Nearest neighbor-16: B4ET17, Distance: 1.559
Nearest neighbor-17: Q3IHQ6, Distance: 1.579
Nearest neighbor-18: Q8EIL1, Distance: 1.593
Nearest neighbor-19: Q7MIT5, Distance: 1.600
Nearest neighbor-20: Q6D3S2, Distance: 1.623
Nearest neighbor-21: Q4QLU9, Distance: 1.629
Nearest neighbor-22: Q2NQZ6, Distance: 1.651
Nearest neighbor-23: A9MRB9, Distance: 1.653
Nearest neighbor-24: B5F512, Distance: 1.656
Nearest neighbor-25: B2TZQ2, Distance: 1.686
Nearest neighbor-26: Q9RHS9, Distance: 1.690
Nearest neighbor-27: Q1CGA8, Distance: 1.694
Nearest neighbor-28: Q12R91, Distance: 1.695
Nearest neighbor-29: C3K2F6, Distance: 1.698
Nearest neighbor-30: Q57R80, Distance: 1.728
Nearest neighbor-31: B0V7R3, Distance: 1.730
Nearest neighbor-32: B1JQP6, Distance: 1.744
Nearest neighbor-33: Q5PGN2, Distance: 1.756
Nearest neighbor-34: C5BED3, Distance: 1.814
Nearest neighbor-35: Q1CHL1, Distance: 1.838
Nearest neighbor-36: A7FGL1, Distance: 1.842
Nearest neighbor-37: Q9PH03, Distance: 1.846
Nearest neighbor-38: Q74SR9, Distance: 1.863
Nearest neighbor-39: A8FRM9, Distance: 1.869
Nearest neighbor-40: B7M8I9, Distance: 1.878
Nearest neighbor-41: Q0T1T1, Distance: 1.878
Nearest neighbor-42: B1XBQ2, Distance: 1.883
Nearest neighbor-43: B2TYI8, Distance: 1.889
Nearest neighbor-44: Q3M3Q5, Distance: 1.894
Nearest neighbor-45: Q1R8F7, Distance: 1.906
Nearest neighbor-46: Q9KU62, Distance: 1.926
Nearest neighbor-47: Q087P4, Distance: 1.934
Nearest neighbor-48: P73161, Distance: 1.942
Nearest neighbor-49: B5QTV6, Distance: 1.974
Nearest neighbor-50: A9N0W9, Distance: 1.988

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.519
Nearest neighbor-2: Q0HMR2, Distance: 0.521
Nearest neighbor-3: A0KGL5, Distance: 0.521
Nearest neighbor-4: A1A7A6, Distance: 0.573
Nearest neighbor-5: A7ZW09, Distance: 0.579
Nearest neighbor-6: B0BT63, Distance: 0.579
Nearest neighbor-7: A7MSB2, Distance: 0.586
Nearest neighbor-8: Q48LP5, Distance: 0.609
Nearest neighbor-9: B5FI41, Distance: 0.610
Nearest neighbor-10: Q5PDF0, Distance: 0.613
Nearest neighbor-11: Q3KGV8, Distance: 0.669
Nearest neighbor-12: Q9HYT6, Distance: 0.745
Nearest neighbor-13: A7FKM4, Distance: 0.940
Nearest neighbor-14: C5BEJ2, Distance: 0.943
Nearest neighbor-15: Q57RF9, Distance: 0.987
Nearest neighbor-16: B5F076, Distance: 0.987
Nearest neighbor-17: A9MTI2, Distance: 0.987
Nearest neighbor-18: C0PWY7, Distance: 0.987
Nearest neighbor-19: Q5X0E6, Distance: 0.999
Nearest neighbor-20: A4W8C2, Distance: 1.027
Nearest neighbor-21: A7ZY35, Distance: 1.051
Nearest neighbor-22: B7NA78, Distance: 1.051
Nearest neighbor-23: B8G8R1, Distance: 1.109
Nearest neighbor-24: A9WT85, Distance: 1.115
Nearest neighbor-25: Q50939, Distance: 1.140
Nearest neighbor-26: Q1JBD1, Distance: 1.148
Nearest neighbor-27: Q99ZA5, Distance: 1.154
Nearest neighbor-28: Q9ZDW2, Distance: 1.170
Nearest neighbor-29: Q8ZQN7, Distance: 1.172
Nearest neighbor-30: P52126, Distance: 1.176
Nearest neighbor-31: Q54986, Distance: 1.196
Nearest neighbor-32: B1IC35, Distance: 1.199
Nearest neighbor-33: Q47EI2, Distance: 1.202
Nearest neighbor-34: Q03AL7, Distance: 1.219
Nearest neighbor-35: Q3SIK7, Distance: 1.221
Nearest neighbor-36: Q8CWX7, Distance: 1.227
Nearest neighbor-37: A3CNJ9, Distance: 1.237
Nearest neighbor-38: Q49VV6, Distance: 1.241
Nearest neighbor-39: Q2WCN1, Distance: 1.244
Nearest neighbor-40: P0C9B2, Distance: 1.249
Nearest neighbor-41: Q71WT9, Distance: 1.288
Nearest neighbor-42: Q88NV1, Distance: 1.306
Nearest neighbor-43: P18074, Distance: 1.364
Nearest neighbor-44: Q641Y8, Distance: 1.395
Nearest neighbor-45: Q9T1Q7, Distance: 1.414
Nearest neighbor-46: Q5NVJ8, Distance: 1.415
Nearest neighbor-47: Q65191, Distance: 1.425
Nearest neighbor-48: Q21489, Distance: 1.517
Nearest neighbor-49: Q10D00, Distance: 1.528
Nearest neighbor-50: Q03VV4, Distance: 1.595

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: Q68XI8, Distance: 2.551
Nearest neighbor-12: B5XWP9, Distance: 2.557
Nearest neighbor-13: A9N025, Distance: 2.626
Nearest neighbor-14: A8AH10, Distance: 2.644
Nearest neighbor-15: P39099, Distance: 2.656
Nearest neighbor-16: C6DH15, Distance: 2.663
Nearest neighbor-17: Q9Z4H7, Distance: 2.725
Nearest neighbor-18: O06432, Distance: 2.765
Nearest neighbor-19: Q4R4J7, Distance: 2.806
Nearest neighbor-20: Q9TYV5, Distance: 2.861
Nearest neighbor-21: Q4P3U9, Distance: 2.871
Nearest neighbor-22: Q5AJD0, Distance: 2.900
Nearest neighbor-23: O52042, Distance: 2.904
Nearest neighbor-24: B4RCD1, Distance: 2.938
Nearest neighbor-25: Q62B05, Distance: 2.952
Nearest neighbor-26: Q6FS54, Distance: 2.998
Nearest neighbor-27: A1AV44, Distance: 3.009
Nearest neighbor-28: Q4L6D0, Distance: 3.066
Nearest neighbor-29: Q2HGF7, Distance: 3.099
Nearest neighbor-30: O34966, Distance: 3.122
Nearest neighbor-31: Q51463, Distance: 3.130
Nearest neighbor-32: Q9VIF6, Distance: 3.136
Nearest neighbor-33: Q8DQ24, Distance: 3.149
Nearest neighbor-34: C1CK62, Distance: 3.150
