IVFPQ

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: Q68XI8, Distance: 2.551
Nearest neighbor-12: B5XWP9, Distance: 2.557
Nearest neighbor-13: A9N025, Distance: 2.626
Nearest neighbor-14: A8AH10, Distance: 2.644
Nearest neighbor-15: C6DH15, Distance: 2.663
Nearest neighbor-16: P57003, Distance: 2.721
Nearest neighbor-17: Q9Z4H7, Distance: 2.725
Nearest neighbor-18: O06432, Distance: 2.765
Nearest neighbor-19: B1LEQ7, Distance: 2.771
Nearest neighbor-20: Q6G9D9, Distance: 2.771
Nearest neighbor-21: P54744, Distance: 2.774
Nearest neighbor-22: Q1CK59, Distance: 2.775
Nearest neighbor-23: Q4R4J7, Distance: 2.806
Nearest neighbor-24: Q4IJH1, Distance: 2.822
Nearest neighbor-25: A6ZQH3, Distance: 2.837
Nearest neighbor-26: B0RLE5, Distance: 2.857
Nearest neighbor-27: Q4P3U9, Distance: 2.871
Nearest neighbor-28: A0A0M4FTF3, Distance: 2.871
Nearest neighbor-29: Q8G6W2, Distance: 2.877
Nearest neighbor-30: Q5AJD0, Distance: 2.900
Nearest neighbor-31: P08003, Distance: 2.937
Nearest neighbor-32: B4RCD1, Distance: 2.938
Nearest neighbor-33: A3P6Z9, Distance: 2.939
Nearest neighbor-34: Q00248, Distance: 2.940
Nearest neighbor-35: I1WUC2, Distance: 2.942
Nearest neighbor-36: Q62B05, Distance: 2.952
Nearest neighbor-37: P39046, Distance: 3.025
Nearest neighbor-38: Q11HC6, Distance: 3.044
Nearest neighbor-39: P13113, Distance: 3.074
Nearest neighbor-40: A4YV72, Distance: 3.113
Nearest neighbor-41: P25888, Distance: 3.142
Nearest neighbor-42: P56416, Distance: 3.143
Nearest neighbor-43: Q8DQ24, Distance: 3.149
Nearest neighbor-44: C1CK62, Distance: 3.150
Nearest neighbor-45: Q9H2X3, Distance: 3.159
Nearest neighbor-46: P16946, Distance: 3.193
Nearest neighbor-47: Q9L7M1, Distance: 3.199
Nearest neighbor-48: Q71XE6, Distance: 3.266
Nearest neighbor-49: Q929F4, Distance: 3.281
Nearest neighbor-50: P96499, Distance: 3.361

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: Q06065, Distance: 0.887
Nearest neighbor-3: Q5E3W8, Distance: 0.915
Nearest neighbor-4: P23747, Distance: 0.951
Nearest neighbor-5: O87455, Distance: 0.955
Nearest neighbor-6: P59402, Distance: 0.987
Nearest neighbor-7: A8A3I6, Distance: 0.999
Nearest neighbor-8: B6I695, Distance: 1.009
Nearest neighbor-9: A1KU52, Distance: 1.011
Nearest neighbor-10: B7N6T9, Distance: 1.013
Nearest neighbor-11: Q0TEH1, Distance: 1.015
Nearest neighbor-12: P36219, Distance: 1.027
Nearest neighbor-13: B4T3B0, Distance: 1.029
Nearest neighbor-14: B4TT16, Distance: 1.039
Nearest neighbor-15: Q8EEF3, Distance: 1.051
Nearest neighbor-16: P37931, Distance: 1.066
Nearest neighbor-17: Q3K999, Distance: 1.069
Nearest neighbor-18: B5F3J7, Distance: 1.088
Nearest neighbor-19: P66756, Distance: 1.088
Nearest neighbor-20: P0A812, Distance: 1.095
Nearest neighbor-21: Q15RN6, Distance: 1.100
Nearest neighbor-22: B7NBL1, Distance: 1.103
Nearest neighbor-23: Q03R36, Distance: 1.103
Nearest neighbor-24: Q03YJ6, Distance: 1.105
Nearest neighbor-25: A5FRK7, Distance: 1.124
Nearest neighbor-26: Q220I3, Distance: 1.135
Nearest neighbor-27: P37930, Distance: 1.142
Nearest neighbor-28: B0JY77, Distance: 1.142
Nearest neighbor-29: P71229, Distance: 1.153
Nearest neighbor-30: A1U1B9, Distance: 1.176
Nearest neighbor-31: A4STH5, Distance: 1.188
Nearest neighbor-32: Q5H2A4, Distance: 1.188
Nearest neighbor-33: Q3BQF5, Distance: 1.191
Nearest neighbor-34: P0DF50, Distance: 1.220
Nearest neighbor-35: Q88V03, Distance: 1.229
Nearest neighbor-36: Q9KDI8, Distance: 1.240
Nearest neighbor-37: P61529, Distance: 1.248
Nearest neighbor-38: Q83BE0, Distance: 1.259
Nearest neighbor-39: Q92BI2, Distance: 1.263
Nearest neighbor-40: Q6HDA6, Distance: 1.284
Nearest neighbor-41: Q634C4, Distance: 1.284
Nearest neighbor-42: Q817W4, Distance: 1.289
Nearest neighbor-43: A5WFF6, Distance: 1.312
Nearest neighbor-44: A8ZUH7, Distance: 1.313
Nearest neighbor-45: Q4FTT9, Distance: 1.315
Nearest neighbor-46: P29570, Distance: 1.380
Nearest neighbor-47: B7K9M6, Distance: 1.413
Nearest neighbor-48: B9KKV4, Distance: 1.474
Nearest neighbor-49: Q2RHT7, Distance: 1.495
Nearest neighbor-50: A1R724, Distance: 1.513

Query: A0A009HPM0
Nearest neighbor-1: B2TWG0, Distance: 1.437
Nearest neighbor-2: B1LNS5, Distance: 1.449
Nearest neighbor-3: Q88XP4, Distance: 1.452
Nearest neighbor-4: A1RP91, Distance: 1.454
Nearest neighbor-5: Q5PK68, Distance: 1.457
Nearest neighbor-6: B5BJN9, Distance: 1.457
Nearest neighbor-7: Q5E320, Distance: 1.480
Nearest neighbor-8: B0VRJ4, Distance: 1.482
Nearest neighbor-9: Q7MHY6, Distance: 1.486
Nearest neighbor-10: A6VLF9, Distance: 1.487
Nearest neighbor-11: Q7MAX6, Distance: 1.495
Nearest neighbor-12: A3QHZ8, Distance: 1.497
Nearest neighbor-13: B0VKL3, Distance: 1.506
Nearest neighbor-14: P57029, Distance: 1.507
Nearest neighbor-15: A8GL74, Distance: 1.512
Nearest neighbor-16: Q12SP8, Distance: 1.523
Nearest neighbor-17: A3D8E4, Distance: 1.525
Nearest neighbor-18: C5BC48, Distance: 1.536
Nearest neighbor-19: B1IRN3, Distance: 1.543
Nearest neighbor-20: B6EL06, Distance: 1.543
Nearest neighbor-21: B4ET17, Distance: 1.559
Nearest neighbor-22: Q9CL07, Distance: 1.567
Nearest neighbor-23: Q65R09, Distance: 1.583
Nearest neighbor-24: B5BG31, Distance: 1.584
Nearest neighbor-25: A4TQK1, Distance: 1.585
Nearest neighbor-26: Q7VP87, Distance: 1.587
Nearest neighbor-27: Q8EIL1, Distance: 1.593
Nearest neighbor-28: Q7MIT5, Distance: 1.600
Nearest neighbor-29: Q0I4C6, Distance: 1.603
Nearest neighbor-30: Q6D3S2, Distance: 1.623
Nearest neighbor-31: Q38YR4, Distance: 1.637
Nearest neighbor-32: Q3MEJ8, Distance: 1.649
Nearest neighbor-33: Q2NQZ6, Distance: 1.651
