Query_ID,Method,Neighbor_ID,Rank,In_BLAST_Hits,Neighbor_Name,Organism,Function,EC_Number,Domains,GO_Terms
A0A009I3Y5,lsh,A5UG81,1,No,3-deoxy-D-manno-octulosonic acid kinase,Haemophilus influenzae (strain,Catalyzes the ATP-dependent phosphorylation of the,,,
A0A009I3Y5,lsh,P44033,2,No,Putative kinase HI_0665,Haemophilus influenzae (strain,,,,
A0A009I3Y5,lsh,P14181,3,No,Protein LicA,Haemophilus influenzae,Mediates phase variation of the LOS 6A2 and 12D9 e,,,
A0A009I3Y5,lsh,Q8EKA0,4,No,tRNA 2-selenouridine synthase,Shewanella oneidensis (strain ,Involved in the post-transcriptional modification ,,Rhodanese,
A0A009I3Y5,lsh,B2K7I7,5,No,Regulatory ATPase RavA,Yersinia pseudotuberculosis se,"Component of the RavA-ViaA chaperone complex, whic",,,
A0A009I3Y5,hypercube,B0BBT2,1,No,Serine/threonine-protein kinase PknD,Chlamydia trachomatis serovar ,"Together with the serine/threonine kinase Pkn1, ma",,Protein kinase,
A0A009I3Y5,hypercube,P0C993,2,No,mRNA-capping enzyme,African swine fever virus (iso,Probably catalyzes the second reaction in the mRNA,,mRNA cap 0 methyltransferase,
A0A009I3Y5,hypercube,C0MEP5,3,No,Xaa-Pro dipeptidyl-peptidase,Streptococcus equi subsp. zooe,Removes N-terminal dipeptides sequentially from po,,,
A0A009I3Y5,hypercube,P0DD36,4,No,Xaa-Pro dipeptidyl-peptidase,Streptococcus pyogenes serotyp,Removes N-terminal dipeptides sequentially from po,,,
A0A009I3Y5,hypercube,Q48RI5,5,No,Xaa-Pro dipeptidyl-peptidase,Streptococcus pyogenes serotyp,Removes N-terminal dipeptides sequentially from po,,,
A0A009I3Y5,ivfflat,A5UG81,1,No,3-deoxy-D-manno-octulosonic acid kinase,Haemophilus influenzae (strain,Catalyzes the ATP-dependent phosphorylation of the,,,
A0A009I3Y5,ivfflat,P44033,2,No,Putative kinase HI_0665,Haemophilus influenzae (strain,,,,
A0A009I3Y5,ivfflat,P14181,3,No,Protein LicA,Haemophilus influenzae,Mediates phase variation of the LOS 6A2 and 12D9 e,,,
A0A009I3Y5,ivfflat,Q8EKA0,4,No,tRNA 2-selenouridine synthase,Shewanella oneidensis (strain ,Involved in the post-transcriptional modification ,,Rhodanese,
A0A009I3Y5,ivfflat,B2K7I7,5,No,Regulatory ATPase RavA,Yersinia pseudotuberculosis se,"Component of the RavA-ViaA chaperone complex, whic",,,
A0A009I3Y5,ivfpq,A5UG81,1,No,3-deoxy-D-manno-octulosonic acid kinase,Haemophilus influenzae (strain,Catalyzes the ATP-dependent phosphorylation of the,,,
A0A009I3Y5,ivfpq,Q4QLU9,2,No,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,Haemophilus influenzae (strain,Catalyzes the formation of 5-methyl-uridine at pos,,,
