Hypercube

Query: A0A009I3Y5
Nearest neighbor-1: B0BBT2, Distance: 0.097
Nearest neighbor-2: P0C993, Distance: 0.098
Nearest neighbor-3: C0MEP5, Distance: 0.099
Nearest neighbor-4: P0DD36, Distance: 0.100
Nearest neighbor-5: Q48RI5, Distance: 0.100
Nearest neighbor-6: Q03308, Distance: 0.103
Nearest neighbor-7: Q5X4J1, Distance: 0.106
Nearest neighbor-8: B7UKC3, Distance: 0.108
Nearest neighbor-9: Q1R5L6, Distance: 0.108
Nearest neighbor-10: A1AGU2, Distance: 0.108
Nearest neighbor-11: Q49UP4, Distance: 0.109
Nearest neighbor-12: B4LZW7, Distance: 0.113
Nearest neighbor-13: Q59685, Distance: 0.114
Nearest neighbor-14: Q83CQ2, Distance: 0.115
Nearest neighbor-15: A5F4F5, Distance: 0.115
Nearest neighbor-16: Q12ID7, Distance: 0.116
Nearest neighbor-17: Q639F7, Distance: 0.118
Nearest neighbor-18: P32742, Distance: 0.118
Nearest neighbor-19: B0BT63, Distance: 0.119
Nearest neighbor-20: P00936, Distance: 0.119
Nearest neighbor-21: A5DSF0, Distance: 0.119
Nearest neighbor-22: A6QEA9, Distance: 0.119
Nearest neighbor-23: O84481, Distance: 0.119
Nearest neighbor-24: Q7VJC6, Distance: 0.120
Nearest neighbor-25: Q6GC36, Distance: 0.120
Nearest neighbor-26: P59739, Distance: 0.120
Nearest neighbor-27: Q32743, Distance: 0.120
Nearest neighbor-28: Q1RH76, Distance: 0.121
Nearest neighbor-29: B2U309, Distance: 0.123
Nearest neighbor-30: B7M1A6, Distance: 0.123
Nearest neighbor-31: B7LGM7, Distance: 0.123
Nearest neighbor-32: A6QKD8, Distance: 0.124
Nearest neighbor-33: C6DKD0, Distance: 0.124
Nearest neighbor-34: P77439, Distance: 0.124
Nearest neighbor-35: Q0HR19, Distance: 0.124
Nearest neighbor-36: Q0HMR2, Distance: 0.124
Nearest neighbor-37: Q112N5, Distance: 0.124
Nearest neighbor-38: P0DW04, Distance: 0.124
Nearest neighbor-39: A9MPJ5, Distance: 0.124
Nearest neighbor-40: Q8Z9A7, Distance: 0.125
Nearest neighbor-41: Q924I2, Distance: 0.125
Nearest neighbor-42: B5FFR4, Distance: 0.125
Nearest neighbor-43: B6J3R8, Distance: 0.125
Nearest neighbor-44: Q8DCN2, Distance: 0.125
Nearest neighbor-45: Q5HA05, Distance: 0.125
Nearest neighbor-46: A0KGL5, Distance: 0.125
Nearest neighbor-47: Q5RB36, Distance: 0.126
Nearest neighbor-48: Q09499, Distance: 0.126
Nearest neighbor-49: Q99JP0, Distance: 0.126
Nearest neighbor-50: Q5ZHT1, Distance: 0.126

Query: A0A002
Nearest neighbor-1: O70595, Distance: 0.094
Nearest neighbor-2: Q9NP58, Distance: 0.095
Nearest neighbor-3: C1A4A9, Distance: 0.125
Nearest neighbor-4: B8JA66, Distance: 0.130
Nearest neighbor-5: Q9RQQ9, Distance: 0.138
Nearest neighbor-6: Q02998, Distance: 0.139
Nearest neighbor-7: Q3IYI5, Distance: 0.142
Nearest neighbor-8: P9WM40, Distance: 0.143
Nearest neighbor-9: Q9HUI3, Distance: 0.145
Nearest neighbor-10: Q2N5V9, Distance: 0.146
Nearest neighbor-11: Q1QZX5, Distance: 0.151
Nearest neighbor-12: Q9L1I4, Distance: 0.155
Nearest neighbor-13: Q7WLT5, Distance: 0.155
Nearest neighbor-14: Q2KWZ4, Distance: 0.155
Nearest neighbor-15: Q7VY01, Distance: 0.155
Nearest neighbor-16: O05560, Distance: 0.156
Nearest neighbor-17: Q11B27, Distance: 0.156
Nearest neighbor-18: Q7UA23, Distance: 0.157
Nearest neighbor-19: Q9ZBD8, Distance: 0.158
Nearest neighbor-20: A0QP18, Distance: 0.158
Nearest neighbor-21: A9WFZ9, Distance: 0.159
Nearest neighbor-22: Q02592, Distance: 0.160
Nearest neighbor-23: Q3ANH5, Distance: 0.162
Nearest neighbor-24: Q9HRW3, Distance: 0.164
Nearest neighbor-25: Q8PBH3, Distance: 0.165
Nearest neighbor-26: P65371, Distance: 0.166
Nearest neighbor-27: Q62J26, Distance: 0.166
Nearest neighbor-28: A4JFW7, Distance: 0.167
Nearest neighbor-29: Q89VX1, Distance: 0.167
Nearest neighbor-30: P9WQ85, Distance: 0.168
Nearest neighbor-31: Q9RXB5, Distance: 0.168
Nearest neighbor-32: Q82EU9, Distance: 0.169
Nearest neighbor-33: Q2P497, Distance: 0.169
Nearest neighbor-34: Q73WP9, Distance: 0.170
Nearest neighbor-35: Q3BVJ6, Distance: 0.171
Nearest neighbor-36: P9WPD1, Distance: 0.171
Nearest neighbor-37: B0RW57, Distance: 0.172
Nearest neighbor-38: Q82LG4, Distance: 0.172
Nearest neighbor-39: P9WP77, Distance: 0.173
Nearest neighbor-40: A5VN83, Distance: 0.174
Nearest neighbor-41: Q73T66, Distance: 0.174
Nearest neighbor-42: P59962, Distance: 0.174
Nearest neighbor-43: P59969, Distance: 0.174
Nearest neighbor-44: Q2YNZ0, Distance: 0.176
Nearest neighbor-45: P57993, Distance: 0.176
