Hypercube

Query: A0A009HPM0
Nearest neighbor-1: Q612F5, Distance: 0.038
Nearest neighbor-2: Q5I0C3, Distance: 0.040
Nearest neighbor-3: Q12KL2, Distance: 0.043
Nearest neighbor-4: P44440, Distance: 0.046
Nearest neighbor-5: Q9CP74, Distance: 0.047
Nearest neighbor-6: Q8DXM9, Distance: 0.047
Nearest neighbor-7: A5F3L5, Distance: 0.047
Nearest neighbor-8: P57029, Distance: 0.047
Nearest neighbor-9: P07244, Distance: 0.047
Nearest neighbor-10: A8GKD1, Distance: 0.050

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 0.038
Nearest neighbor-2: Q9SQI8, Distance: 0.106
Nearest neighbor-3: P22439, Distance: 0.123
Nearest neighbor-4: Q6MMS6, Distance: 0.169
Nearest neighbor-5: B5XWP9, Distance: 0.171
Nearest neighbor-6: A9N025, Distance: 0.179
Nearest neighbor-7: A8AH10, Distance: 0.180
Nearest neighbor-8: C6DH15, Distance: 0.181
Nearest neighbor-9: Q56WK6, Distance: 0.187
Nearest neighbor-10: Q56ZI2, Distance: 0.189

Query: A0A002
Nearest neighbor-1: P9WQJ3, Distance: 0.048
Nearest neighbor-2: Q13BH6, Distance: 0.056
Nearest neighbor-3: Q03024, Distance: 0.060
Nearest neighbor-4: Q20Z38, Distance: 0.064
Nearest neighbor-5: P23886, Distance: 0.083
Nearest neighbor-6: Q8P8W4, Distance: 0.084
Nearest neighbor-7: Q28433, Distance: 0.089
Nearest neighbor-8: O70595, Distance: 0.094
Nearest neighbor-9: Q9NP58, Distance: 0.095
Nearest neighbor-10: P9WQJ4, Distance: 0.099

Query: A0A009HL96
Nearest neighbor-1: Q92HC2, Distance: 0.114
Nearest neighbor-2: Q8D5Z6, Distance: 0.116
Nearest neighbor-3: O34311, Distance: 0.121
Nearest neighbor-4: O48929, Distance: 0.124
Nearest neighbor-5: Q881J7, Distance: 0.129
Nearest neighbor-6: Q2FY80, Distance: 0.137
Nearest neighbor-7: Q56128, Distance: 0.144
Nearest neighbor-8: P0AA93, Distance: 0.145
Nearest neighbor-9: Q6GK52, Distance: 0.145
Nearest neighbor-10: Q13237, Distance: 0.147

Query: A0A009PCK4
Nearest neighbor-1: B2K7I7, Distance: 0.079
Nearest neighbor-2: A1SW96, Distance: 0.083
Nearest neighbor-3: B4F0D4, Distance: 0.083
Nearest neighbor-4: Q8EJX6, Distance: 0.085
Nearest neighbor-5: A1RPL0, Distance: 0.087
Nearest neighbor-6: P47448, Distance: 0.087
Nearest neighbor-7: A0L1Z0, Distance: 0.089
Nearest neighbor-8: Q9CP74, Distance: 0.092
Nearest neighbor-9: A9KYL6, Distance: 0.092
